,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2,Source
290,895,2,30.0,https://www.pap.fr/annonces/appartement-paris-20e-r434400767,ParisNord,29.83333333333333,PAP
291,940,1,17.0,https://www.pap.fr/annonces/appartement-paris-2e-r409401026,ParisCentre,55.29411764705882,PAP
292,630,1,10.0,https://www.pap.fr/annonces/appartement-paris-2e-75002-r434500121,ParisCentre,63.0,PAP
293,1150,1,25.0,https://www.pap.fr/annonces/appartement-paris-6e-r412800183,ParisCentre,46.0,PAP
294,1050,1,20.0,https://www.pap.fr/annonces/appartement-paris-6e-75006-r432100606,ParisCentre,52.5,PAP
295,1000,1,16.0,https://www.pap.fr/annonces/appartement-paris-6e-75006-r430701652,ParisCentre,62.5,PAP
296,1150,1,25.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r434201504,ParisCentre,46.0,PAP
297,1190,2,31.0,https://www.pap.fr/annonces/appartement-paris-3e-r1932014,ParisCentre,38.38709677419355,PAP
298,950,1,21.0,https://www.pap.fr/annonces/appartement-paris-3e-r412102036,ParisCentre,45.23809523809525,PAP
299,1060,1,24.0,https://www.pap.fr/annonces/appartement-paris-3e-r408101433,ParisCentre,44.16666666666666,PAP
300,450,1,9.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r434500277,ParisCentre,50.0,PAP
301,990,1,21.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r433901313,ParisCentre,47.14285714285714,PAP
302,1040,1,20.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r434401781,ParisCentre,52.0,PAP
303,950,1,21.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r434401108,ParisCentre,45.23809523809525,PAP
304,900,1,18.0,https://www.pap.fr/annonces/appartement-paris-3e-75003-r434400833,ParisCentre,50.0,PAP
305,580,1,11.0,https://www.pap.fr/annonces/appartement-paris-3e-r190207006,ParisCentre,52.72727272727273,PAP
306,715,1,15.0,https://www.pap.fr/annonces/appartement-paris-6e-75006-r429901099,ParisCentre,47.66666666666666,PAP
307,1140,1,22.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r430300230,ParisCentre,51.81818181818182,PAP
308,1100,1,20.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432802200,ParisCentre,55.0,PAP
309,830,1,19.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r434400713,ParisCentre,43.68421052631579,PAP
310,850,1,18.0,https://www.pap.fr/annonces/appartement-paris-5e-r412300427,ParisCentre,47.22222222222222,PAP
311,675,1,10.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r429700712,ParisCentre,67.5,PAP
312,820,1,17.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r434300017,ParisCentre,48.235294117647065,PAP
313,970,1,25.0,https://www.pap.fr/annonces/appartement-paris-5e-r195810015,ParisCentre,38.8,PAP
314,390,1,9.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r434100465,ParisCentre,43.33333333333334,PAP
315,1190,1,30.0,https://www.pap.fr/annonces/appartement-paris-5e-75005-r433201971,ParisCentre,39.66666666666666,PAP
316,1150,1,27.0,https://www.pap.fr/annonces/appartement-paris-5e-r195310755,ParisCentre,42.5925925925926,PAP
317,1250,2,27.0,https://www.pap.fr/annonces/appartement-paris-6e-75006-r434101693,ParisCentre,46.2962962962963,PAP
318,1230,1,29.0,https://www.pap.fr/annonces/appartement-paris-6e-r417302079,ParisCentre,42.413793103448285,PAP
319,1190,1,25.0,https://www.pap.fr/annonces/appartement-paris-9e-75009-r429300491,ParisEst,47.6,PAP
320,800,1,15.0,https://www.pap.fr/annonces/appartement-paris-9e-75009-r434400515,ParisEst,53.33333333333334,PAP
