,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
18,1090,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/162803553.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.333333333333336
19,1150,1,26.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/164113645.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,44.23076923076923
20,829,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/164481121.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,33.16
21,1090,1,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/162605469.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.16129032258065
22,1200,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/164557357.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,40.0
23,1200,1,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/chateau-d-eau-lancry/162812581.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,50.0
24,850,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/163581359.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,47.22222222222222
25,1000,2,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/163717957.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,33.333333333333336
26,785,1,18.5,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/lorette-martyrs/163769133.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,42.432432432432435
27,1125,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/164000957.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.15625
28,1082,2,30.02,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/chateau-d-eau-lancry/164051327.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.042638241172554
29,1010,1,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/164054435.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,31.5625
30,1140,2,34.54,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/164274649.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,33.0052113491604
31,650,1,11.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/saint-vincent-de-paul-lariboisiere/164312669.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,59.09090909090909
32,920,1,17.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/164319233.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,54.11764705882353
33,1015,2,32.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/164422231.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,31.71875
34,990,2,24.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/clichy-trinite/164550611.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,41.25
35,1111,1,25.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/142845155.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,44.44
36,840,1,21.65,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/161935441.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,38.799076212471135
37,709,1,19.73,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/lafayette-richer/164428949.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.935124176381144
38,1200,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/164494671.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,40.0
39,980,1,26.85,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/162274953.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.49906890130354
40,1050,2,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/162858145.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,52.5
41,1050,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/saint-vincent-de-paul-lariboisiere/162965611.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,35.0
42,710,1,20.54,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/163728259.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,34.56669912366115
43,1034,2,36.17,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/163878841.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,28.587226983688137
44,866,1,28.66,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/163987121.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,30.21632937892533
45,945,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/164090153.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,47.25
46,790,1,16.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/164128705.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,49.375
47,970,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/clichy-trinite/164226263.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,42.17391304347826
48,1120,2,35.0,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/164226335.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,32.0
49,666,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/164376031.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,37.0
50,800,1,21.8,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/164377509.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,36.69724770642202
51,995,2,36.04,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/faubourg-du-temple-hopital-saint-louis/164506253.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,27.60821309655938
52,520,1,11.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/clichy-trinite/164536993.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,47.27272727272727
53,950,1,21.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/164504343.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,45.23809523809524
54,520,1,10.51,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/164535387.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,49.476688867745004
55,1111,1,21.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/141835229.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,52.904761904761905
56,850,1,20.0,"https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/160829181.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,42.5
57,930,1,31.79,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/grange-aux-belles-terrage/161481391.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,29.254482541679774
58,850,1,18.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/162110815.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,47.22222222222222
59,900,1,27.52,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/belleville-saint-maur/162308525.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,32.70348837209303
60,1160,1,15.0,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/162903071.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,77.33333333333333
61,1100,2,37.01,"https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/163466967.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,29.721696838692246
62,768,1,15.77,"https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/leon-blum-folie-regnault/163748987.htm?projects=1&types=2,1&natures=1&places=[{ci:750109}|{ci:750110}|{ci:750111}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisEst,48.7000634115409
