,Price,N_rooms,Surface_m2,Link,Zone,Price_per_m2
18,986,1,24.12,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/164050039.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.87893864013267
19,902,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/164050047.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.214285714285715
20,1020,2,33.33,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164188121.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,30.603060306030606
21,902,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/164277889.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.214285714285715
22,1105,1,29.37,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/160701331.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,37.6234252638747
23,800,1,12.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163418375.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,66.66666666666667
24,1200,1,22.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/163846875.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,54.54545454545455
25,970,1,30.5,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/163859855.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,31.80327868852459
26,986,1,24.12,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/164050039.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,40.87893864013267
27,902,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/parc-monceau/164050047.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.214285714285715
28,990,1,28.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/164147315.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,35.357142857142854
29,850,1,240.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/164147319.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,3.5416666666666665
30,965,1,23.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/164157711.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,41.95652173913044
31,900,1,18.14,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/seine-et-berges/164182599.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,49.61411245865491
32,1150,1,22.39,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/159970055.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,51.362215274676196
33,1020,2,31.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164492163.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.903225806451616
34,1100,1,37.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/164492169.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,29.72972972972973
35,940,1,23.85,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/164492915.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,39.41299790356394
36,591,1,9.56,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164521865.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,61.82008368200837
37,936,2,29.21,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/164543317.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,32.04382060938035
38,650,1,10.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/164547475.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,65.0
39,1150,1,30.0,"https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/159405813.htm?projects=1&types=2,1&natures=1&places=[{ci:750107}|{ci:750108}|{ci:750116}]&price=NaN/1200&enterprise=0&qsVersion=1.0&m=search_to_detail",ParisOuest,38.333333333333336
