,index,Price,N_rooms,Surface_m2,Link,District,Zone,Price_per_m2
57,67,1053,1,25,https://www.pap.fr/annonces/appartement-paris-14e-r420000865,14,ParisSud,42.12
58,68,750,1,13,https://www.pap.fr/annonces/appartement-paris-14e-r430400437,14,ParisSud,57.69230769230769
59,69,1200,1,28,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434001036,15,ParisSud,42.857142857142854
60,70,900,1,25,https://www.pap.fr/annonces/appartement-paris-15e-r402700525,15,ParisSud,36.0
61,71,1200,1,34,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301637,15,ParisSud,35.294117647058826
62,72,1200,1,26,https://www.pap.fr/annonces/appartement-paris-15e-r418101833,15,ParisSud,46.15384615384615
63,73,550,1,10,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200113,15,ParisSud,55.0
64,74,1099,2,28,https://www.pap.fr/annonces/appartement-paris-15e-r193209291,15,ParisSud,39.25
65,75,770,1,18,https://www.pap.fr/annonces/appartement-paris-15e-r432400063,15,ParisSud,42.77777777777778
66,76,1200,1,25,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434100805,15,ParisSud,48.0
67,79,620,1,14,https://www.pap.fr/annonces/appartement-paris-15e-r406302403,15,ParisSud,44.285714285714285
68,80,840,1,16,https://www.pap.fr/annonces/appartement-paris-15e-r412500644,15,ParisSud,52.5
69,81,900,1,26,https://www.pap.fr/annonces/appartement-paris-15e-r432502706,15,ParisSud,34.61538461538461
70,82,900,2,27,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434402237,15,ParisSud,33.333333333333336
71,83,890,1,22,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434402283,15,ParisSud,40.45454545454545
72,84,980,1,22,https://www.pap.fr/annonces/appartement-paris-15e-r434500185,15,ParisSud,44.54545454545455
73,85,975,1,25,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434401862,15,ParisSud,39.0
74,86,930,1,20,https://www.pap.fr/annonces/appartement-paris-15e-r407702082,15,ParisSud,46.5
75,87,900,2,25,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400907,15,ParisSud,36.0
76,88,980,1,28,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434401191,15,ParisSud,35.0
77,89,1085,1,29,https://www.pap.fr/annonces/appartement-paris-15e-r424600566,15,ParisSud,37.41379310344828
78,92,1080,1,30,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400814,15,ParisSud,36.0
79,93,750,1,12,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434400863,15,ParisSud,62.5
80,94,700,1,13,https://www.pap.fr/annonces/appartement-paris-15e-r413102132,15,ParisSud,53.84615384615385
81,95,1075,1,27,https://www.pap.fr/annonces/appartement-paris-15e-r418300500,15,ParisSud,39.81481481481482
82,96,980,1,25,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301712,15,ParisSud,39.2
83,97,600,1,9,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301957,15,ParisSud,66.66666666666667
84,98,950,1,24,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434302119,15,ParisSud,39.583333333333336
85,99,950,2,24,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434302123,15,ParisSud,39.583333333333336
86,100,650,1,9,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434301651,15,ParisSud,72.22222222222223
87,101,855,1,16,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434300298,15,ParisSud,53.4375
88,102,1085,1,30,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200888,15,ParisSud,36.166666666666664
89,103,685,1,12,https://www.pap.fr/annonces/appartement-paris-15e-75015-r433001091,15,ParisSud,57.083333333333336
90,106,1150,1,36,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434300096,15,ParisSud,31.944444444444443
91,107,550,1,10,https://www.pap.fr/annonces/appartement-paris-15e-75015-r431001836,15,ParisSud,55.0
92,108,940,1,28,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434201508,15,ParisSud,33.57142857142857
93,109,1170,1,33,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434201379,15,ParisSud,35.45454545454545
94,110,1170,2,32,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434200536,15,ParisSud,36.5625
95,111,980,1,28,https://www.pap.fr/annonces/appartement-paris-15e-r424500578,15,ParisSud,35.0
96,112,1180,1,27,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434101900,15,ParisSud,43.7037037037037
97,113,545,1,12,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434101928,15,ParisSud,45.416666666666664
98,114,975,1,23,https://www.pap.fr/annonces/appartement-paris-15e-75015-r178910192,15,ParisSud,42.391304347826086
99,115,1115,1,33,https://www.pap.fr/annonces/appartement-paris-15e-r433800590,15,ParisSud,33.78787878787879
100,116,950,1,25,https://www.pap.fr/annonces/appartement-paris-15e-75015-r434000887,15,ParisSud,38.0
101,279,750,3,39,https://www.pap.fr/annonces/appartement-paris-7e-r196509548,7E,ParisOuest,19.23076923076923
